"","X","date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Northern.Mariana.Islands","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto.Rico","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virgin.Islands","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"174",174,"1",1958,71,1438,572,8530,370,223,75,59,12624,3548,0,21,560,933,435,221,970,365,1705,19,419,230,418,491,393,608,150,230,852,14,224,263,559,1822,108,0,1261,510,341,584,356,175,1520,25,2509,8921,730,5,11,972,1357,69,702,41
"175",175,"1",1710,54,4209,794,10387,458,20,90,40,9194,2642,0,21,431,767,674,311,82,575,2215,8,712,303,691,398,862,1036,130,273,1072,23,393,223,913,2114,51,3,1142,993,323,982,113,101,2221,48,1797,10906,492,4,26,796,719,94,913,48
"176",176,"1",1812,61,3285,564,8904,479,106,81,80,10181,3568,1,28,637,1396,697,594,810,446,2091,12,740,217,1036,574,1025,920,111,262,918,22,390,327,834,1806,72,0,1316,1075,295,1001,256,52,1856,80,2103,11840,454,13,6,1078,747,150,893,34
"177",177,"1",2021,76,3319,817,9264,577,114,64,50,13965,2701,1,19,662,1225,715,878,116,469,2280,20,661,234,896,605,1230,859,116,199,1437,26,223,297,767,2084,103,1,1290,628,412,808,195,71,1838,42,2312,15038,680,7,14,899,1264,100,952,41
"178",178,"1",2003,49,3845,648,10161,592,143,223,39,11466,3419,0,22,618,1366,747,489,926,545,2179,38,704,298,775,666,1032,940,118,183,1348,26,50,318,778,1976,124,0,1679,699,301,1003,546,82,1977,95,2245,9738,664,9,20,1001,958,126,882,43
"179",179,"1",2143,74,2758,771,8272,402,0,92,79,10328,4074,1,20,554,1257,885,411,39,588,0,10,832,359,632,457,1017,827,88,184,1234,23,263,280,752,2434,115,0,1542,916,389,608,333,0,1552,73,2446,8805,858,4,14,937,663,139,875,39
"180",180,"1",1777,118,2311,695,8266,371,0,90,67,12478,2453,0,27,527,985,920,499,221,850,3116,41,925,296,551,734,792,791,62,92,1220,15,-31,235,509,1774,112,0,1110,209,355,604,610,0,2374,44,1662,7977,687,12,0,1057,712,120,835,18
"181",181,"1",1880,137,1676,699,8735,467,162,105,78,10347,1994,4,12,420,1268,642,530,1085,378,3186,24,553,255,551,903,1251,890,107,210,979,46,180,244,519,1335,107,0,1236,168,321,1114,398,111,1459,37,1764,7636,409,10,11,945,1348,100,801,61
"182",182,"1",1467,111,3410,728,10171,503,41,122,88,9440,3077,8,25,519,982,737,378,62,660,1691,12,860,244,698,350,1635,1204,101,343,800,13,293,302,855,1871,81,1,1047,893,350,962,479,82,1892,76,2082,9922,563,6,0,985,797,57,1139,51
"183",183,"1",1455,94,1929,591,12162,595,127,46,102,9785,3255,3,17,496,1608,782,487,770,531,2773,0,627,287,707,504,1547,1206,99,296,1154,33,335,311,706,2091,160,0,1527,975,179,807,98,76,1705,58,2146,10967,588,0,28,1020,696,262,884,50
"184",184,"1",2399,65,2370,1013,10647,662,9,132,42,10249,4737,2,55,467,1624,953,588,142,659,2296,14,658,327,694,760,982,1469,84,332,1329,23,242,335,810,1912,126,0,1444,668,329,886,435,86,1564,66,2480,9543,501,11,6,842,813,89,974,59
"185",185,"1",1793,64,3363,990,9921,689,544,278,78,12444,3875,5,58,549,1610,1002,638,885,800,2084,20,930,338,653,767,1610,1301,189,356,925,57,458,312,758,2156,121,0,1560,1147,407,1189,494,76,2001,57,2015,7558,885,8,10,1125,1023,145,1144,58
"186",186,"1",2125,120,3663,732,10231,749,0,-27,68,12199,3530,0,71,509,1293,949,452,61,767,0,33,1291,283,427,803,1434,1086,147,238,980,40,513,313,748,2076,122,2,1438,965,320,779,573,0,1401,105,1792,7947,560,11,0,1245,605,126,840,41
"187",187,"1",1164,234,1986,642,6011,517,0,115,63,9344,2214,0,63,342,1410,851,471,185,287,3840,24,689,369,1085,862,1207,1167,82,206,926,21,505,265,532,1520,140,0,889,1204,272,652,603,0,1191,90,2871,4129,350,4,9,958,538,139,950,29
"188",188,"1",1821,104,1877,824,7765,359,207,116,78,8892,2431,9,28,574,1363,536,339,790,568,2343,18,1130,289,579,650,653,1336,64,281,961,5,449,449,613,1810,110,0,1104,1244,358,1222,288,291,1218,49,2539,6557,466,2,14,1505,1126,94,638,45
"189",189,"1",1251,144,2076,734,7848,697,94,70,87,9230,4131,3,46,482,1146,841,232,55,626,1121,6,655,256,696,478,1342,1412,85,241,1111,59,483,289,535,1688,155,0,1320,1228,297,1134,409,210,1692,48,2449,10554,438,3,0,916,1028,119,791,69
"190",190,"1",1416,92,2367,787,11088,465,463,126,54,9446,3509,2,108,492,1379,660,695,683,603,1737,28,755,502,1001,666,1505,1458,204,308,946,13,260,345,711,1727,86,0,1396,848,386,855,221,75,1737,149,1827,9042,462,1,10,998,724,153,1005,39
"191",191,"1",1980,117,2544,791,8230,453,130,87,58,9956,3998,3,124,568,1865,965,662,67,653,1708,22,894,414,900,745,1775,1988,134,318,1097,31,370,252,779,2364,74,2,1733,1105,361,869,511,150,1726,44,2021,10243,375,1,0,908,800,96,992,58
"192",192,"1",1961,118,3203,752,8004,610,140,99,69,9007,3797,2,122,475,1869,917,468,877,849,1799,24,1167,514,826,771,1168,1403,148,445,1108,39,690,212,642,1979,168,0,1533,746,344,934,209,72,1444,79,2978,10956,544,7,21,984,626,220,909,40
"193",193,"1",1626,150,2911,662,7234,409,0,89,79,9642,3492,3,86,378,1531,973,540,26,631,0,25,1018,428,698,725,1134,938,104,180,1065,30,369,196,754,1645,133,2,928,1250,307,681,1091,0,1583,103,2311,5134,496,7,15,904,923,93,1044,43
"194",194,"1",2095,157,1454,637,6430,442,0,72,69,7104,2722,0,45,234,1482,758,430,194,354,3467,21,910,418,407,759,672,565,112,311,1063,21,321,220,531,1266,58,1,944,495,280,570,539,0,1189,88,1349,6535,421,5,0,980,512,119,926,39
"195",195,"1",1217,80,1033,787,6298,320,252,106,39,4752,1954,9,206,373,1524,580,182,859,534,1099,12,870,199,646,613,572,1099,56,254,966,26,264,114,542,1467,125,1,932,385,298,899,380,224,1163,65,1096,8782,396,1,18,1322,851,119,481,40
"196",196,"1",1041,61,1031,784,5023,373,48,82,85,5446,2952,7,143,519,1360,833,326,59,709,3615,5,711,546,790,602,1074,1214,111,222,1020,33,356,210,746,1488,148,0,1143,866,305,828,533,144,1239,59,1752,9564,447,4,24,1143,817,78,792,36
"197",197,"1",952,58,1693,912,5518,651,115,159,45,5409,3933,14,172,497,1876,741,605,788,614,1486,17,584,440,752,618,1245,1061,121,311,663,26,335,226,639,1218,124,0,1199,1103,279,727,327,91,1282,89,1653,9362,460,5,38,792,561,108,984,39
"198",198,"1",1938,40,1514,735,8237,490,20,69,75,7650,2905,8,151,656,1991,1056,723,106,612,1303,5,598,231,774,861,956,1224,140,332,786,23,374,207,694,2024,120,1,1166,840,271,802,283,130,1325,105,2214,7635,554,9,21,997,667,118,892,35
"199",199,"1",1709,65,1360,1011,7129,448,75,80,71,7686,3976,14,201,563,2017,1245,361,813,712,1500,17,797,417,813,545,1036,1146,150,283,928,37,360,192,720,1555,150,0,1204,839,408,784,752,127,1422,98,2421,8164,498,3,6,2015,919,156,1117,42
